no;date;temp;light;comment
238;04.19.19 02:30:01PM;16,903;10,8;
239;04.19.19 04:30:01PM;16,808;0;
240;04.19.19 06:30:01PM;16,808;0;
241;04.19.19 08:30:01PM;16,808;0;
242;04.19.19 10:30:01PM;16,713;0;
243;04.20.19 12:30:01AM;16,523;0;
244;04.20.19 02:30:01AM;16,427;0;
245;04.20.19 04:30:01AM;16,332;0;
246;04.20.19 06:30:01AM;16,237;0;
247;04.20.19 08:30:01AM;16,141;0;
248;04.20.19 10:30:01AM;16,427;21,5;
249;04.20.19 12:30:01PM;16,713;107,6;
250;04.20.19 02:30:01PM;16,618;10,8;
251;04.20.19 04:30:01PM;16,427;0;
252;04.20.19 06:30:01PM;16,141;0;
253;04.20.19 08:30:01PM;16,046;0;
254;04.20.19 10:30:01PM;15,951;0;
255;04.21.19 12:30:01AM;15,855;0;
256;04.21.19 02:30:01AM;15,855;0;
257;04.21.19 04:30:01AM;15,76;0;
258;04.21.19 06:30:01AM;15,664;0;
259;04.21.19 08:30:01AM;15,664;0;
260;04.21.19 10:30:01AM;15,951;32,3;
261;04.21.19 12:30:01PM;16,903;118,4;
262;04.21.19 02:30:01PM;16,903;0;
263;04.21.19 04:30:01PM;16,427;0;
264;04.21.19 05:05:49PM;;;
265;04.21.19 05:05:53PM;;;
266;04.21.19 05:06:36PM;;;Protokolliert
267;04.21.19 06:30:01PM;16,046;0;
268;04.21.19 08:30:01PM;15,76;0;
269;04.21.19 10:30:01PM;15,664;0;
270;04.22.19 12:30:01AM;15,569;0;
271;04.22.19 02:30:01AM;15,378;0;
272;04.22.19 04:30:01AM;15,282;0;
273;04.22.19 06:30:01AM;15,091;0;
274;04.22.19 08:30:01AM;15,091;0;
275;04.22.19 10:30:01AM;15,282;32,3;
276;04.22.19 12:30:01PM;17,379;107,6;
277;04.22.19 02:30:01PM;15,569;10,8;
278;04.22.19 03:24:45PM;;;
279;04.22.19 03:25:10PM;;;Protokolliert
280;04.22.19 04:30:01PM;15,76;269,1;
281;04.22.19 06:25:22PM;;;
282;04.22.19 06:26:12PM;;;Protokolliert
283;04.22.19 06:30:01PM;15,664;290,6;
284;04.22.19 08:30:01PM;15,76;0;
285;04.22.19 10:30:01PM;15,664;0;
286;04.23.19 12:30:01AM;15,664;0;
287;04.23.19 02:30:01AM;15,569;0;
288;04.23.19 04:30:01AM;15,569;0;
289;04.23.19 06:30:01AM;15,569;10,8;
290;04.23.19 08:30:01AM;15,569;204,5;
291;04.23.19 08:34:35AM;;;
292;04.23.19 08:34:56AM;;;Protokolliert
293;04.23.19 10:30:01AM;15,473;32,3;
294;04.23.19 12:30:01PM;15,855;43,1;
295;04.23.19 02:30:01PM;15,855;21,5;
296;04.23.19 04:30:01PM;15,664;0;
297;04.23.19 06:30:01PM;15,76;0;
298;04.23.19 07:44:29PM;;;
299;04.23.19 07:44:30PM;;;
300;04.23.19 07:45:27PM;;;Protokolliert
301;04.23.19 08:30:01PM;15,664;0;
302;04.23.19 10:30:01PM;15,569;0;
303;04.24.19 12:30:01AM;15,473;0;
304;04.24.19 02:30:01AM;15,378;0;
305;04.24.19 04:30:01AM;15,282;0;
306;04.24.19 06:30:01AM;15,282;0;
